Gmt time,Open,High,Low,Close,Volume
01.07.2022 02:01:00.000,1.04690,1.04712,1.04690,1.04700,51209999.0845
01.07.2022 02:02:00.000,1.04701,1.04707,1.04697,1.04697,26229999.5422
01.07.2022 02:03:00.000,1.04698,1.04709,1.04695,1.04707,24579999.9237
01.07.2022 02:04:00.000,1.04706,1.04712,1.04705,1.04710,17389999.3896
01.07.2022 02:05:00.000,1.04709,1.04715,1.04698,1.04698,47389999.3896
01.07.2022 02:06:00.000,1.04699,1.04708,1.04699,1.04708,19280000.6866
01.07.2022 02:07:00.000,1.04708,1.04714,1.04708,1.04710,22379999.1608
01.07.2022 02:08:00.000,1.04710,1.04711,1.04708,1.04710,18180000.3052
01.07.2022 02:09:00.000,1.04710,1.04710,1.04704,1.04704,17920000.0763
01.07.2022 02:10:00.000,1.04705,1.04712,1.04705,1.04709,33110000.6104
01.07.2022 02:11:00.000,1.04708,1.04718,1.04708,1.04716,27280000.6866
01.07.2022 02:12:00.000,1.04717,1.04723,1.04712,1.04714,56000000
01.07.2022 02:13:00.000,1.04715,1.04724,1.04713,1.04713,38700000.7629
01.07.2022 02:14:00.000,1.04712,1.04715,1.04703,1.04704,40279998.7793
01.07.2022 02:15:00.000,1.04706,1.04710,1.04704,1.04710,7800000.1907
01.07.2022 02:16:00.000,1.04710,1.04710,1.04702,1.04704,26090000.1526
01.07.2022 02:17:00.000,1.04705,1.04706,1.04702,1.04702,23440000.5341
01.07.2022 02:18:00.000,1.04703,1.04713,1.04703,1.04710,26059999.4659
01.07.2022 02:19:00.000,1.04712,1.04714,1.04709,1.04713,35090000.1526
01.07.2022 02:20:00.000,1.04712,1.04712,1.04704,1.04705,36630001.0681
01.07.2022 02:21:00.000,1.04704,1.04704,1.04702,1.04703,15880000.1144
01.07.2022 02:22:00.000,1.04704,1.04710,1.04703,1.04708,8340000.1526
01.07.2022 02:23:00.000,1.04708,1.04712,1.04703,1.04703,91339996.3379
01.07.2022 02:24:00.000,1.04704,1.04711,1.04704,1.04710,36729999.5422
01.07.2022 02:25:00.000,1.04713,1.04716,1.04709,1.04710,38180000.3052
01.07.2022 02:26:00.000,1.04710,1.04713,1.04707,1.04709,52849998.4741
01.07.2022 02:27:00.000,1.04708,1.04714,1.04703,1.04703,81900001.5259
01.07.2022 02:28:00.000,1.04702,1.04702,1.04693,1.04693,29500000
01.07.2022 02:29:00.000,1.04690,1.04697,1.04687,1.04688,69010002.1362
01.07.2022 02:30:00.000,1.04687,1.04692,1.04683,1.04683,35279998.7793
01.07.2022 02:31:00.000,1.04684,1.04684,1.04658,1.04661,263089996.3379
01.07.2022 02:32:00.000,1.04659,1.04659,1.04634,1.04639,131860000.6104
01.07.2022 02:33:00.000,1.04640,1.04653,1.04634,1.04634,140270004.2725
01.07.2022 02:34:00.000,1.04635,1.04639,1.04618,1.04619,158910003.6621
01.07.2022 02:35:00.000,1.04619,1.04638,1.04619,1.04632,79620002.7466
01.07.2022 02:36:00.000,1.04630,1.04655,1.04628,1.04648,122400001.5259
01.07.2022 02:37:00.000,1.04648,1.04655,1.04638,1.04648,89750000
01.07.2022 02:38:00.000,1.04648,1.04653,1.04647,1.04647,63500000
01.07.2022 02:39:00.000,1.04646,1.04650,1.04643,1.04645,49360000.6104
01.07.2022 02:40:00.000,1.04645,1.04654,1.04638,1.04643,63009998.3215
01.07.2022 02:41:00.000,1.04644,1.04645,1.04631,1.04635,50590000.1526
01.07.2022 02:42:00.000,1.04637,1.04642,1.04636,1.04640,8920000.0763
01.07.2022 02:43:00.000,1.04643,1.04643,1.04628,1.04630,36729999.5422
01.07.2022 02:44:00.000,1.04628,1.04645,1.04628,1.04645,25709999.0845
01.07.2022 02:45:00.000,1.04641,1.04643,1.04628,1.04642,58650001.5259
01.07.2022 02:46:00.000,1.04643,1.04643,1.04637,1.04643,63150001.5259
