Gmt time,Open,High,Low,Close,Volume
01.07.2022 01:24:00.000,1.04710,1.04720,1.04710,1.04716,29760000.2289
01.07.2022 01:25:00.000,1.04717,1.04718,1.04713,1.04714,23930000.3052
01.07.2022 01:26:00.000,1.04713,1.04720,1.04712,1.04715,23770000.4578
01.07.2022 01:27:00.000,1.04714,1.04715,1.04710,1.04711,25739999.7711
01.07.2022 01:28:00.000,1.04712,1.04713,1.04698,1.04700,37389999.3896
01.07.2022 01:29:00.000,1.04699,1.04700,1.04688,1.04690,59979999.5422
01.07.2022 01:30:00.000,1.04690,1.04690,1.04674,1.04674,139919998.1689
01.07.2022 01:31:00.000,1.04674,1.04675,1.04643,1.04655,99779998.7793
01.07.2022 01:32:00.000,1.04658,1.04690,1.04647,1.04688,194679992.6758
01.07.2022 01:33:00.000,1.04687,1.04704,1.04684,1.04694,90709999.0845
01.07.2022 01:34:00.000,1.04692,1.04702,1.04681,1.04682,105489997.8638
01.07.2022 01:35:00.000,1.04682,1.04682,1.04665,1.04674,150910003.6621
01.07.2022 01:36:00.000,1.04676,1.04682,1.04669,1.04669,114739997.8638
01.07.2022 01:37:00.000,1.04668,1.04676,1.04664,1.04667,125089996.3379
01.07.2022 01:38:00.000,1.04668,1.04704,1.04667,1.04704,123000000
01.07.2022 01:39:00.000,1.04703,1.04706,1.04692,1.04705,53319999.6948
01.07.2022 01:40:00.000,1.04705,1.04708,1.04697,1.04707,74129997.2534
01.07.2022 01:41:00.000,1.04706,1.04707,1.04697,1.04705,47169998.1689
01.07.2022 01:42:00.000,1.04706,1.04708,1.04689,1.04691,23760000.2289
01.07.2022 01:43:00.000,1.04690,1.04690,1.04663,1.04663,39049999.2371
01.07.2022 01:44:00.000,1.04663,1.04685,1.04663,1.04683,36849998.4741
01.07.2022 01:45:00.000,1.04681,1.04712,1.04681,1.04709,207899993.8965
01.07.2022 01:46:00.000,1.04709,1.04710,1.04688,1.04688,161470001.2207
01.07.2022 01:47:00.000,1.04684,1.04698,1.04682,1.04697,69610000.6104
01.07.2022 01:48:00.000,1.04698,1.04710,1.04695,1.04696,166570007.3242
01.07.2022 01:49:00.000,1.04696,1.04707,1.04694,1.04700,85069999.6948
01.07.2022 01:50:00.000,1.04698,1.04703,1.04679,1.04679,52709999.0845
01.07.2022 01:51:00.000,1.04680,1.04687,1.04675,1.04680,58500000
01.07.2022 01:52:00.000,1.04680,1.04703,1.04677,1.04701,58560001.3733
01.07.2022 01:53:00.000,1.04702,1.04702,1.04692,1.04692,32849998.4741
01.07.2022 01:54:00.000,1.04694,1.04696,1.04681,1.04683,42930000.3052
01.07.2022 01:55:00.000,1.04684,1.04688,1.04682,1.04685,21600000.3815
01.07.2022 01:56:00.000,1.04689,1.04692,1.04680,1.04685,55970001.2207
01.07.2022 01:57:00.000,1.04685,1.04697,1.04685,1.04697,67440002.4414
01.07.2022 01:58:00.000,1.04698,1.04701,1.04694,1.04700,44380001.0681
01.07.2022 01:59:00.000,1.04701,1.04714,1.04694,1.04700,87269996.6431
01.07.2022 02:00:00.000,1.04697,1.04698,1.04678,1.04694,67199996.9482
01.07.2022 02:01:00.000,1.04696,1.04717,1.04696,1.04704,91389999.3896
01.07.2022 02:02:00.000,1.04704,1.04711,1.04702,1.04703,71290000.9155
01.07.2022 02:03:00.000,1.04703,1.04713,1.04700,1.04710,47560001.3733
01.07.2022 02:04:00.000,1.04709,1.04717,1.04709,1.04715,25520000.4578
01.07.2022 02:05:00.000,1.04713,1.04718,1.04703,1.04703,38740001.6785
01.07.2022 02:06:00.000,1.04703,1.04713,1.04702,1.04712,32270000.4578
01.07.2022 02:07:00.000,1.04713,1.04718,1.04712,1.04715,29700000.7629
01.07.2022 02:08:00.000,1.04716,1.04716,1.04714,1.04716,22780000.6866
01.07.2022 02:09:00.000,1.04715,1.04715,1.04707,1.04708,20700000.7629
01.07.2022 02:10:00.000,1.04708,1.04714,1.04708,1.04712,20700000.7629
01.07.2022 02:11:00.000,1.04712,1.04720,1.04712,1.04720,25170000.0763
01.07.2022 02:12:00.000,1.04720,1.04725,1.04716,1.04719,40810001.3733
01.07.2022 02:13:00.000,1.04719,1.04727,1.04717,1.04717,36330001.8311
01.07.2022 02:14:00.000,1.04715,1.04717,1.04708,1.04708,27709999.0845
01.07.2022 02:15:00.000,1.04710,1.04715,1.04708,1.04715,15260000.2289
01.07.2022 02:16:00.000,1.04714,1.04714,1.04707,1.04708,26690000.5341
01.07.2022 02:17:00.000,1.04709,1.04711,1.04706,1.04707,30000000
